77223355,CG5614UG,34
77223355,ON6540SA,46
49405528,XU6411QX,8
77223355,EW1994FO,41
41334788,CQ7026HG,65
41334788,OF6661LN,36
59871816,NA2262AN,48
59871816,UB7468SQ,68
59871816,ON6540SA,58
41334788,QJ3474KQ,13
49405528,LL1733VC,10
77223355,IJ2633VB,62
41334788,WF8130EJ,61
41334788,NA2262AN,36
74045383,MU4534DD,52
74045383,ZA4037ID,34
41334788,QM1355QW,25
49405528,OZ5846TF,36
49405528,TO3719OI,10
77223355,ME9511EJ,56
77223355,RG5641SL,32
59871816,DB5425JV,34
49405528,HX7509SS,39
49405528,FL8233NN,46
59871816,PY2368UR,20
59871816,TQ7085IX,67
59871816,UL2816HD,7
77223355,IT8310GB,40
41334788,RG5641SL,47
59871816,EW1994FO,39
41334788,OU5986RW,36
59871816,GX2188GB,38
74045383,EW1994FO,60
41334788,UT2471OX,27
77223355,PU8782TN,58
59871816,CQ7026HG,29
77223355,BJ1174AM,20
41334788,FX4598QC,54
59871816,YV5760BW,43
41334788,UW7057CE,68
59871816,MS4911NR,40
74045383,KR3058OH,62
41334788,JF9854RG,12
59871816,AV6615NW,9
41334788,QF8711PB,24
41334788,RS5412CP,63
77223355,MS4911NR,62
41334788,CO4540QO,12
49405528,CW9116WD,37
74045383,VM1767KU,58
59871816,CI9105HO,33
59871816,MU4534DD,59
41334788,XI9387DK,8
41334788,IJ2633VB,10
74045383,DQ8701MS,69
59871816,AT6583NT,29
41334788,LR8081ER,17
49405528,WN3995HZ,28
49405528,ER5817MM,36
77223355,JM5501SW,75
59871816,CI3630ND,30
41334788,LH7856DF,70
41334788,TO4924XO,74
41334788,HX6409XN,46
49405528,UB7468SQ,21
41334788,SB2546UL,30
41334788,GW9736BB,36
49405528,RS5412CP,13
59871816,ZD9824IK,18
59871816,NR6542WP,21
41334788,ZT6760GK,54
49405528,EA3007XC,7
41334788,RU2997OR,33
59871816,VA4307HP,49
41334788,KQ7486CD,56
59871816,JF9854RG,50
77223355,TE8991UQ,7
74045383,PD1639EO,29
41334788,MY8587XW,8
74045383,BC4893LG,49
59871816,XI9387DK,34
59871816,ZN3167XY,45
