16/07/2019,5365,15:39:20,17:48:14,290.26
16/07/2019,3564,08:27:14,18:14:26,250.74
16/07/2019,5548,14:11:06,15:22:00,58.62
16/07/2019,4316,00:42:55,11:56:47,62.80
16/07/2019,4865,20:28:44,22:02:42,491.79
16/07/2019,4262,08:13:51,10:14:37,165.77
16/07/2019,4316,19:55:14,22:57:31,551.21
16/07/2019,5548,07:06:04,10:59:27,232.58
16/07/2019,4042,11:07:30,14:00:44,167.94
16/07/2019,4316,21:18:57,21:32:01,458.11
17/07/2019,4262,02:47:06,05:46:00,560.03
17/07/2019,4548,03:42:25,08:33:51,217.49
17/07/2019,4042,11:09:12,14:28:37,353.34
17/07/2019,4478,06:38:16,08:10:02,520.56
17/07/2019,5365,01:01:09,10:54:09,491.03
17/07/2019,4262,04:55:13,09:47:02,317.46
17/07/2019,5548,08:32:11,16:46:19,270.86
17/07/2019,5548,08:31:39,20:28:43,463.85
20/07/2019,4262,04:11:29,06:22:11,381.16
20/07/2019,3564,17:37:47,19:18:31,314.66
20/07/2019,4548,09:40:58,19:51:57,547.74
20/07/2019,3564,04:43:56,05:27:10,543.37
20/07/2019,4865,08:02:15,18:32:55,364.96
20/07/2019,4478,13:42:41,21:14:49,74.29
20/07/2019,4042,03:55:31,14:36:05,353.14
3/08/2019,4478,02:16:34,10:42:31,248.77
3/08/2019,5657,01:49:15,07:25:40,65.07
3/08/2019,3564,09:27:02,17:23:44,102.25
3/08/2019,4478,06:56:03,13:49:58,216.49
3/08/2019,5657,03:01:48,07:15:01,617.84
3/08/2019,5365,10:42:00,16:07:48,408.68
3/08/2019,4865,02:01:41,08:15:13,445.59
3/08/2019,4262,13:42:03,22:04:43,601.66
3/08/2019,4316,03:28:21,09:08:02,261.45
16/08/2019,4262,18:47:52,19:20:21,185.00
16/08/2019,4478,09:41:42,21:16:13,58.33
16/08/2019,4865,02:40:39,03:02:14,298.03
16/08/2019,4865,03:34:48,13:31:09,220.56
16/08/2019,4316,10:40:15,15:15:15,106.08
16/08/2019,4042,10:01:03,16:11:36,351.38
16/08/2019,5365,07:50:12,17:38:38,353.05
16/08/2019,4042,08:24:25,16:37:11,465.12
5/09/2019,4865,02:32:37,12:49:50,467.72
